dates,days,day1,population,susceptibles,isolated,isolatedinfected,infectednotisolated,infected,importedinfections,accumulatedinfected,tested_mit,confirmed,deaths,recovered,beta,susceptibleprop,newtested_mit,newimportedinfections,newinfected,newisolated,newisolatedinfected,newconfirmed,newrecovered,requireddxtests,actualdxtests,newdeaths,truepositives,falsepositives,truenegatives,falsenegatives,ppv,npv,incidence,prevalence,actualdeaths,reff,positive rate,detection rate
2020-10-04,771,771,65240292.89999999,60186081.8,148372.3,34838.100000000006,1033111.5,1147248.2999999998,0.0,5085354.3,9448775.7,895374.8999999999,33706.1,3907012.9000000004,0.0,2.7,0.0,50.0,156303.65,0.0,0.0,0.0,74041.232,148082.4,22163.8,238.89999999999998,0.0,0.0,0.0,0.0,,,0.0023958146576622745,0.07794806053054984,0.0,0.13624221539487139,,0.0
2020-10-05,774,774,65240034.5,60029016.0,126566.59999999999,23714.4,1127627.7999999998,1224727.6,0.0,5242370.100000001,9448775.7,895374.8999999999,33964.5,3986341.0999999996,0.0,2.7,0.0,50.0,157015.824,0.0,0.0,0.0,79328.214,158656.4,22316.4,258.4,0.0,0.0,0.0,0.0,,,0.002406740358176849,0.0803551092542724,0.0,0.1282046913942333,,0.0
2020-10-06,777,777,65239755.400000006,59869780.8,131453.9,13538.400000000001,1196824.7,1298738.7000000002,0.0,5401555.199999999,9546348.1,922382.7999999999,34243.6,4071286.0,0.0,2.7,97572.4,50.0,159185.256,27008.0,22245.8,27008.0,84944.897,169889.8,22477.7,279.3,22245.8,4762.2,70447.9,1170.9,0.8236744668246445,0.9836509408144231,0.0024400038753057615,0.08279545450288428,0.0,0.12256911725199224,0.27679958676838945,0.16966395430491377
2020-10-07,780,780,65239454.099999994,59709833.900000006,137680.3,5733.6,1259318.1,1367347.9,0.0,5561452.0,9643920.399999999,950726.1000000001,34544.9,4162322.1,0.0,2.7,97572.3,50.0,159896.777,28343.2,23600.2,28343.2,91036.207,182072.4,22652.7,301.4,23600.2,4743.0,69093.5,1242.1,0.832658274295069,0.9823403795517489,0.002450921443255915,0.08524675867880999,0.0,0.11693935171875425,0.29048408206017484,0.17725935776679227
2020-10-08,783,783,65239129.099999994,59550254.5,146557.3,1732.5,1311883.9,1428544.2,0.0,5720981.5,9741492.6,980744.2999999999,34869.9,4260380.4,0.0,2.7,97572.2,50.0,159529.437,30018.3,25299.3,30018.3,98058.239,196116.5,22857.4,324.90000000000003,25299.3,4718.9,67394.29999999999,1331.6,0.8427987021207135,0.9806244807270621,0.0024453029830528504,0.08769248729900658,0.0,0.11167273438231734,0.3076521796167351,0.1881677799690348
2020-10-09,786,786,65238779.10000001,59394753.800000004,160085.9,2813.3999999999996,1348497.9,1478020.6,0.0,5876432.1,9839443.899999999,1012823.0,35219.9,4366054.7,0.0,2.7,97951.3,50.0,155450.627,32078.7,27369.4,32078.7,105674.199,211348.4,23079.4,350.0,27369.4,4709.4,65684.4,1440.5,0.8531927628215519,0.9785400052737508,0.0023827948521495243,0.09007575219935406,0.0,0.10517487171694359,0.3274964191388986,0.20635941211095918
2020-10-10,789,789,65238402.1,59249520.89999999,180227.09999999998,14461.199999999999,1360539.4,1509025.3,0.0,6021615.1,9941102.899999999,1050266.3,35596.9,4479905.8,0.0,2.7,101659.0,50.0,145182.886,37443.3,32615.2,37443.3,113851.166,227702.40000000002,23317.8,376.9,32615.2,4828.099999999999,63960.8,1716.6999999999998,0.8710557028894355,0.9738616725667086,0.002225420631508692,0.09230169510850113,0.0,0.09620970967153433,0.36832252923990993,0.25790436484366347
2020-10-11,792,792,65237996.599999994,59117436.5,207058.0,37133.399999999994,1344477.1,1518113.2000000002,0.0,6153649.4,10046630.0,1093049.8,36002.4,4602496.8,0.0,2.7,105527.1,50.0,132034.428,42783.399999999994,37827.8,42783.399999999994,122591.024,245182.0,23572.6,405.5,37827.8,4955.6,62422.9,1991.0,0.8841700285624798,0.9690905223872487,0.0020238884527609795,0.09432615531912274,0.0,0.08697271586861902,0.4054257152901955,0.32403215318962103
2020-10-12,795,795,65237560.400000006,59001322.8,254368.9,69998.70000000001,1287191.9,1501672.8,0.0,6269713.100000001,10155733.399999999,1140360.7,36438.6,4734614.8,0.0,2.7,109103.4,50.0,116063.671,47310.9,42231.4,47310.9,132117.932,264235.8,23850.4,436.20000000000005,42231.4,5079.5,61416.8,2222.7,0.8926357351054408,0.9650735785164875,0.001779092754057063,0.09610587921371751,0.0,0.07728958731888864,0.4336335989529199,0.4076288436542732
2020-10-13,798,798,65237090.3,58903940.2,327851.0,143722.5,1198241.2999999998,1455800.5,0.0,6367045.800000001,10267719.6,1213842.8,36908.7,4877399.7,0.0,2.7,111986.2,50.0,97332.63500000001,73482.20000000001,68303.8,73482.20000000001,142784.856,285569.7,24161.4,470.20000000000005,68303.8,5178.2,60542.3,2412.9,0.9295310416156338,0.961672745063156,0.0014919830812871189,0.09759855583258595,0.0,0.06685849812525824,0.6561719211831459,0.7549595261650935
2020-10-14,801,801,65236583.5,58827746.9,399602.9,218355.59999999998,1078760.0,1376821.2,0.0,6443189.1,10381490.6,1285594.5,37415.5,5032065.3,0.0,2.7,113771.0,50.0,76143.26199999999,71751.8,66514.7,71751.8,154665.668,309331.4,24507.8,506.9,66514.7,5237.1,59827.0,2539.7,0.9270108903191278,0.9592779480075104,0.0011671865372900772,0.09876650116111614,0.0,0.05530366760767483,0.6306686238145046,0.9423263216645488
2020-10-15,804,804,65236037.6,58752690.39999999,472418.9,294322.19999999995,956814.1,1295961.5,0.0,6518195.7,10495557.6,1358410.7000000002,37961.4,5187435.6,0.0,2.7,114067.0,50.0,75006.607,72816.09999999999,67574.5,72816.09999999999,155370.38,310740.8,24529.2,546.0,67574.5,5241.6,59336.4,2580.3999999999996,0.928015919556252,0.9583247196237531,0.0011497725760094295,0.09991710011522834,0.0,0.05787718770966576,0.6383625413134385,0.9707958126942069
