,dates,days,day1,population,susceptibles,isolated,isolatedinfected,infectednotisolated,infected,importedinfections,accumulatedinfected,tested_mit,confirmed,deaths,recovered,beta,susceptibleprop,newtested_mit,newimportedinfections,newinfected,newisolated,newisolatedinfected,newconfirmed,newrecovered,requireddxtests,actualdxtests,newdeaths,truepositives,falsepositives,truenegatives,falsenegatives,ppv,npv,incidence,prevalence,reff,positive rate,detection rate,actualdeaths,actualcases,actualtests_mit
170,2020-05-11,510,510,65247242.699999996,62117099.900000006,11262.0,111.30000000000001,142423.3,144924.4,0.0,3154363.9,804911.5,36463.1,26756.3,2985233.2,0.0,2.9,34662.0,15.0,6472.965,2077.5,407.8,692.5,13199.874,0.0,0.0,217.2,355.4,342.8,33945.1,18.799999999999997,0.5090232025207676,0.9994464711060861,9.920672096079242e-05,0.04793470912449761,0.4466442503815783,0.05993595291673879,0.3209502909408594,26646.0,177153.60714285713,34662.03571428572
171,2020-05-12,513,513,65247034.900000006,62110921.3,12536.1,121.19999999999999,135575.9,138298.2,0.0,3160527.7,840761.7,37170.9,26964.1,2997830.5,0.0,2.9,35850.2,15.0,6163.670999999999,2123.4,407.5,707.8,12597.181,0.0,0.0,207.79999999999998,349.7,354.8,35127.2,18.5,0.4963804116394606,0.9994736198169335,9.44666835733864e-05,0.04802614562949281,0.4456797702356212,0.05922979509179866,0.3445024888576954,26994.0,177818.57142857142,35850.17857142857
172,2020-05-13,516,516,65246836.5,62105043.5,13777.599999999999,130.5,128979.9,131911.4,0.0,3166390.5999999996,876611.8,37860.8,27162.5,3009896.8,0.0,2.9,35850.2,15.0,5862.898999999999,2069.6,387.9,689.9000000000001,12066.27,0.0,0.0,198.29999999999998,332.8,355.0,35144.9,17.6,0.4838615876708346,0.9994994667614646,8.985721476320157e-05,0.048113108135135405,0.44445734030569,0.057729106113773423,0.35299942912200943,27079.0,178380.7857142857,35850.17857142857
173,2020-05-14,519,519,65246647.900000006,62099448.9,15064.0,140.10000000000002,122604.8,125748.29999999999,0.0,3171970.0999999996,912462.0,38559.0,27351.1,3021465.8000000003,0.0,2.9,35850.2,15.0,5579.488,2094.7,383.2,698.2,11569.183,0.0,0.0,188.6,316.8,355.2,35161.6,16.6,0.4714285714285714,0.9995281168450916,8.55137877512325e-05,0.04819587061115517,0.44370285721556485,0.0584292416778707,0.375428713172248,27430.0,179001.10714285713,35850.17857142857
174,2020-05-15,522,522,65246469.1,62094121.6,16389.8,149.7,116480.4,119836.9,0.0,3177282.5,949045.0,39263.6,27529.9,3032525.6,0.0,2.9,36582.9,15.0,5312.3279999999995,2113.7,377.1,704.5,11059.69,0.0,0.0,178.9,307.9,362.5,35896.3,16.2,0.4592780429594272,0.9995489035851027,8.14193943868144e-05,0.04827468280578573,0.44329651384506774,0.05777836092819322,0.3978858233151266,27532.0,179697.32142857142,36582.96428571428
175,2020-05-16,525,525,65246299.8,62089050.400000006,16410.9,147.0,110894.79999999999,114192.5,0.0,3182338.6,985627.8999999999,39951.5,27699.2,3043072.0,0.0,2.9,36583.0,15.0,5056.232,2063.4,358.8,687.9000000000001,10546.4,0.0,0.0,169.4,293.2,362.7,35911.6,15.4,0.44701936270772985,0.9995713530214044,7.749454015781598e-05,0.04834970580201393,0.4427814436149485,0.056403247409999184,0.40809045154573603,27630.0,180395.9642857143,36582.96428571428
176,2020-05-17,528,528,65246139.7,62084225.8,16438.2,144.3,105570.9,108811.79999999999,0.0,3187148.2,1022211.0,40623.3,27859.300000000003,3053117.0,0.0,2.9,36583.0,15.0,4809.595,2015.9,341.7,671.9,10045.093,0.0,0.0,160.1,279.3,362.8,35926.0,14.7,0.43497897523750195,0.9995909929411504,7.371462928097185e-05,0.04842108536269465,0.44201042533989887,0.05510483011234727,0.4191413206309471,28113.0,181130.42857142858,36582.96428571428
177,2020-05-18,531,531,65245988.400000006,62079639.5,16403.1,141.3,100513.5,103685.5,0.0,3191719.5,1058793.8,41293.8,28010.6,3062678.4,0.0,2.9,36583.0,15.0,4571.266,2011.5,332.0,670.4,9561.397,0.0,0.0,151.3,265.9,363.0,35940.1,14.0,0.4228017172841469,0.9996106146447832,7.006202392053883e-05,0.04848894127566009,0.4408780398416365,0.05498455566793319,0.4400312736121679,28242.0,181860.25,36582.96428571428
178,2020-05-19,534,534,65245845.7,62075282.099999994,16278.400000000001,137.39999999999998,95713.1,98800.40000000001,0.0,3196061.9,1095376.8,41949.7,28153.3,3071778.0,0.0,2.9,36583.0,15.0,4342.349,1967.6999999999998,316.2,655.9,9099.644,0.0,0.0,142.8,253.2,363.1,35953.299999999996,13.3,0.41083887717020934,0.9996302124749072,6.655364726156044e-05,0.04855341464291879,0.43950722871567316,0.053787278243993104,0.4531418363655247,28025.0,182584.5357142857,36582.96428571428
179,2020-05-20,537,537,65245710.800000004,62071133.5,16165.400000000001,134.10000000000002,91151.40000000001,94158.2,0.0,3200195.5,1131959.8,42592.0,28288.199999999997,3080434.1,0.0,2.9,36583.0,15.0,4133.648,1926.6,301.2,642.1999999999999,8656.01,0.0,0.0,134.8,241.10000000000002,363.2,35965.8,12.7,0.3989740195267252,0.9996470114095919,6.335509184153144e-05,0.04861480181774645,0.4390109411607274,0.05266380559276166,0.4660774212027729,28136.0,183245.82142857142,36582.96428571428
180,2020-05-21,540,540,65245583.4,62067183.7,15983.0,129.89999999999998,86833.6,89748.9,0.0,3204130.1999999997,1168542.7,43220.799999999996,28415.6,3088665.6,0.0,2.9,36583.0,15.0,3934.7569999999996,1886.6,286.7,628.8,8231.564,0.0,0.0,127.5,229.5,363.5,35977.9,12.1,0.38701517706576727,0.9996637954987497,6.0306871284715954e-05,0.04867325011917971,0.43841840958496425,0.05157040155263373,0.4794705238468348,28218.0,183644.17857142858,36582.96428571428
