,dates,days,day1,population,susceptibles,isolated,isolatedinfected,infectednotisolated,infected,importedinfections,accumulatedinfected,tested_mit,confirmed,deaths,recovered,beta,susceptibleprop,newtested_mit,newimportedinfections,newinfected,newisolated,newisolatedinfected,newconfirmed,newrecovered,requireddxtests,actualdxtests,newdeaths,truepositives,falsepositives,truenegatives,falsenegatives,ppv,npv,incidence,prevalence,p_infected_all_simulated,p_infected_all,reff,positive rate,detection rate,actualdeaths,actualcases,actualnewtests_mit,actualnewdeaths,actualnewcases
537,2021-05-13,1611,1611,109564378.074,103304136.931,16926.398,2948.424,493479.623,498823.377,0.0,6276892.069,12400376.082,573323.104,16620.926,5761447.767,0.0,2.827,60000.0,30.0,33089.584,895.452,206.02299999999997,298.48400000000004,30888.388,61776.77500000001,26150.326,81.316,183.676,119.613,59687.043999999994,9.668,0.605613787509603,0.9998380480318582,0.00030201042146792666,0.05713783305347474,0.004,0.0,0.9950290681745656,0.0149242,0.027061446284728147,0.0,0.0,0.0,0.0,0.0
538,2021-05-14,1614,1614,109564296.351,103270880.451,16948.112,2963.607,495615.702,500967.044,0.0,6310148.549000001,12460376.083,573622.394,16702.648999999998,5792478.855,0.0,2.827,60000.0,30.0,33226.479,897.872,206.954,299.291,31031.089,62062.178,26151.022,81.724,184.469,119.612,59686.20999999999,9.709,0.6066442822800503,0.999837359066371,0.00030326009573005156,0.05744066369794707,0.004,0.0,0.9948702034778958,0.014964533333333332,0.027022785050441245,0.0,0.0,0.0,0.0,0.0
539,2021-05-15,1617,1617,109564214.21700001,103237487.64199999,16969.811,2978.7780000000002,497745.37899999996,503104.301,0.0,6343541.358,12520376.081999999,573922.49,16784.783,5823652.273,0.0,2.827,60000.0,30.0,33362.81,900.286,207.88299999999998,300.095,31173.417999999998,62346.835999999996,26151.716,82.13499999999999,185.25799999999998,119.61,59685.382,9.751,0.6076662686802157,0.9998366533499473,0.0003045046253325241,0.057744735543572574,0.004,0.0,0.9947085505039243,0.015004766666666666,0.026984717414390454,0.0,0.0,0.0,0.0,0.0
540,2021-05-16,1620,1620,109564131.671,103203959.058,16991.497,2993.94,499868.239,505234.738,0.0,6377069.942,12580376.082,574223.388,16867.328999999998,5854967.876,0.0,2.827,60000.0,30.0,33498.584,902.694,208.809,300.898,31315.603,62631.205,26152.409,82.54599999999999,186.043,119.608,59684.556,9.792,0.6086778711667883,0.999835964369692,0.0003057440741700925,0.058050043531568014,0.006,0.0,0.994545153385712,0.0150449,0.026947228575392914,0.0,0.0,0.0,0.0,0.0
541,2021-05-17,1623,1623,109564048.71400002,103170295.257,17013.171000000002,3009.093,501983.509,507357.57899999997,0.0,6410733.743,12640376.083,574525.086,16950.286,5886425.878,0.0,2.824,60000.0,30.0,33633.801,905.0939999999999,209.733,301.698,31458.002,62916.003,26153.103,82.957,186.82600000000002,119.607,59683.735,9.833,0.6096797668658402,0.9998352753851135,0.00030697844224245334,0.058356582583854504,0.006,0.0,0.9943815484029657,0.015084899999999998,0.026910250197413013,0.0,0.0,0.0,0.0,0.0
542,2021-05-18,1626,1626,109563965.34599999,103136496.80399999,17034.831000000002,3024.234,504090.69299999997,509472.33,0.0,6444532.197000001,12700376.082,574827.581,17033.654,5918026.2129999995,0.0,2.824,60000.0,30.0,33768.455,907.486,210.653,302.495,31600.336,63200.671,26153.797,83.368,187.60399999999998,119.605,59682.918000000005,9.874,0.6106722133791652,0.9998345863936134,0.0003082076747894269,0.058664347559000234,0.006,0.0,0.9942185182068672,0.015124766666666666,0.026873779093535666,0.0,0.0,0.0,0.0,0.0
543,2021-05-19,1629,1629,109563881.56799999,103102564.27000001,17056.472,3039.363,506189.491,511578.68700000003,0.0,6478464.73,12760376.083,575130.871,17117.432,5949768.611,0.0,2.824,60000.0,30.0,33902.532999999996,909.868,211.57,303.289,31742.398,63484.796,26154.489999999998,83.778,188.37900000000002,119.60300000000001,59682.103,9.915,0.6116558759927528,0.9998338973897649,0.0003094316531580587,0.058973333232903165,0.006,0.0,0.9940562574687556,0.015164466666666668,0.026837758700802686,0.0,0.0,0.0,0.0,0.0
544,2021-05-20,1632,1632,109563797.382,103068498.264,17078.078,3054.465,508279.733,513676.475,0.0,6512530.737,12820376.083,575434.951,17201.618000000002,5981652.645,0.0,2.8209999999999997,60000.0,30.0,34036.007,912.241,212.482,304.08,31884.034,63768.068,26155.18,84.186,189.151,119.602,59681.293,9.955,0.6126288651446301,0.9998332251320997,0.00031065012178549867,0.059283534107107384,0.004,0.0,0.9938942697346613,0.015204016666666667,0.026802233293699816,0.0,0.0,0.0,0.0,0.0
545,2021-05-21,1635,1635,109563712.794,103034299.43699999,17099.64,3069.534,510361.211,515765.48,0.0,6546729.562000001,12880376.082,575739.819,17286.206,6013677.876,0.0,2.8209999999999997,60000.0,30.0,34168.826,914.6030000000001,213.391,304.868,32025.229,64050.46,26155.869,84.59,189.91899999999998,119.6,59680.485,9.995000000000001,0.6135939958451662,0.999832552862701,0.0003118626151729971,0.05959494425199481,0.004,0.0,0.993731472684058,0.015243383333333334,0.026767176607121357,0.0,0.0,0.0,0.0,0.0
546,2021-05-22,1638,1638,109563627.801,102999968.483,17121.153,3084.567,512433.71400000004,517845.493,0.0,6581060.517,12940376.083,576045.4720000001,17371.199,6045843.824,0.0,2.8209999999999997,60000.0,30.0,34300.954,916.9549999999999,214.296,305.651,32165.951,64331.899000000005,26156.555,84.991,190.685,119.59800000000001,59679.681000000004,10.036,0.6145518768350183,0.9998318638367811,0.00031306880475243744,0.05990755736859685,0.004,0.0,0.9935672260451632,0.015282583333333332,0.02673263839833726,0.0,0.0,0.0,0.0,0.0
