days,compartment,population,susceptibles,total_isolated,total_infected,tested,total_infected_notisolated,total_confirmed,total_deaths,total_recovered,beta,susceptible_prop,new_tested,num_infected,num_isolated,num_isolated_infected,num_confirmed,num_recovered,new_deaths
39,Rest of population,24863406.4,24837025.5,0.0,16073.3,0.0,16073.3,0.0,28.6,10307.7,0.0,1.0,0.0,3124.7,0.0,0.0,0.0,1602.9,4.4
40,Rest of population,24863402.0,24833900.7,0.0,17590.7,0.0,17590.7,0.0,33.0,11910.6,0.0,1.0,0.0,3238.4,0.0,0.0,0.0,1754.2,4.9
41,Rest of population,24863397.1,24830662.3,0.0,19070.0,0.0,19070.0,0.0,37.9,13664.8,0.0,1.0,0.0,3311.5,0.0,0.0,0.0,1901.7,5.3
42,Rest of population,24863391.8,24827350.8,0.0,20474.5,0.0,20474.5,0.0,43.2,15566.5,0.0,1.0,0.0,3338.9,0.0,0.0,0.0,2041.8,5.7
43,Rest of population,24863386.2,24824011.9,0.0,21766.0,0.0,21766.0,0.0,48.8,17608.3,0.0,1.0,0.0,3316.7,0.0,0.0,0.0,2170.6,6.0
44,Rest of population,24863380.2,24820695.2,0.0,22906.1,0.0,22906.1,0.0,54.8,19778.9,0.0,1.0,0.0,3242.6,0.0,0.0,0.0,2284.3,6.3
45,Rest of population,24863373.8,24817452.6,0.0,23858.1,0.0,23858.1,0.0,61.2,22063.1,0.0,1.0,0.0,3116.2,0.0,0.0,0.0,2379.2,6.6
46,Rest of population,24863367.2,24814336.4,0.0,24588.5,0.0,24588.5,0.0,67.8,24442.4,0.0,1.0,0.0,2939.1,0.0,0.0,0.0,2452.1,6.8
47,Rest of population,24863360.4,24811397.2,0.0,25068.8,0.0,25068.8,0.0,74.6,26894.4,0.0,1.0,0.0,2715.1,0.0,0.0,0.0,2499.9,6.9
48,Rest of population,24863353.5,24808682.2,0.0,25277.0,0.0,25277.0,0.0,81.5,29394.4,0.0,1.0,0.0,2449.6,0.0,0.0,0.0,2520.7,7.0
49,Rest of population,24863346.5,24806232.5,0.0,25198.9,0.0,25198.9,0.0,88.5,31915.1,0.0,1.0,0.0,2150.2,0.0,0.0,0.0,2512.9,7.0
50,Rest of population,24863339.6,24804082.4,0.0,24829.2,0.0,24829.2,0.0,95.4,34428.0,0.0,1.0,0.0,1825.5,0.0,0.0,0.0,2476.1,6.9
51,Rest of population,24863332.7,24802256.9,0.0,24171.8,0.0,24171.8,0.0,102.3,36904.1,0.0,1.0,0.0,1485.4,0.0,0.0,0.0,2410.5,6.7
52,Rest of population,24863326.0,24800771.4,0.0,23240.0,0.0,23240.0,0.0,109.0,39314.5,0.0,1.0,0.0,1140.3,0.0,0.0,0.0,2317.6,6.4
53,Rest of population,24863319.6,24799631.2,0.0,22056.3,0.0,22056.3,0.0,115.4,41632.1,0.0,1.0,0.0,1101.9,0.0,0.0,0.0,2199.5,6.1
