days,compartment,population,susceptibles,total_isolated,total_infected,tested,total_infected_notisolated,total_confirmed,total_deaths,total_recovered,beta,susceptible_prop,new_tested,num_infected,num_isolated,num_isolated_infected,num_confirmed,num_recovered,new_deaths
73,Hospitals,2493.1,0.0,52.4,14.2,7760.6,0.0,2159.9,6.9,2479.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,1.4,0.0
74,Hospitals,2493.1,0.0,50.9,12.8,7810.4,0.0,2163.6,6.9,2480.4,0.0,0.0,49.9,0.0,3.7,0.0,3.7,1.3,0.0
75,Hospitals,2493.1,0.0,49.6,11.5,7860.3,0.0,2167.3,6.9,2481.6,0.0,0.0,49.9,0.0,3.7,0.0,3.7,1.1,0.0
76,Hospitals,2493.1,0.0,48.4,10.3,7910.2,0.0,2171.1,6.9,2482.8,0.0,0.0,49.9,0.0,3.7,0.0,3.7,1.0,0.0
77,Hospitals,2493.1,0.0,47.3,9.3,7960.0,0.0,2174.8,6.9,2483.8,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.9,0.0
78,Hospitals,2493.1,0.0,46.3,8.4,8009.9,0.0,2178.6,6.9,2484.7,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.8,0.0
79,Hospitals,2493.1,0.0,45.4,7.5,8059.7,0.0,2182.3,6.9,2485.6,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.8,0.0
80,Hospitals,2493.1,0.0,44.6,6.8,8109.6,0.0,2186.0,6.9,2486.3,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.7,0.0
81,Hospitals,2493.1,0.0,43.9,6.1,8159.5,0.0,2189.8,6.9,2487.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.6,0.0
82,Hospitals,2493.1,0.0,43.2,5.5,8209.3,0.0,2193.5,6.9,2487.6,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.5,0.0
83,Hospitals,2493.1,0.0,42.6,4.9,8259.2,0.0,2197.3,6.9,2488.2,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.5,0.0
84,Hospitals,2493.1,0.0,42.1,4.4,8309.1,0.0,2201.0,6.9,2488.7,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.4,0.0
85,Hospitals,2493.1,0.0,41.6,4.0,8358.9,0.0,2204.7,6.9,2489.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.4,0.0
86,Hospitals,2493.1,0.0,41.2,3.6,8408.8,0.0,2208.5,6.9,2489.5,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.4,0.0
87,Hospitals,2493.1,0.0,40.8,3.2,8458.6,0.0,2212.2,6.9,2489.9,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.3,0.0
88,Hospitals,2493.1,0.0,40.5,2.9,8508.5,0.0,2215.9,6.9,2490.2,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.3,0.0
89,Hospitals,2493.1,0.0,40.2,2.6,8558.4,0.0,2219.7,6.9,2490.5,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.3,0.0
90,Hospitals,2493.1,0.0,39.9,2.4,8608.2,0.0,2223.4,6.9,2490.7,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.2,0.0
91,Hospitals,2493.1,0.0,39.7,2.1,8658.1,0.0,2227.2,6.9,2491.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.2,0.0
92,Hospitals,2493.1,0.0,39.4,1.9,8708.0,0.0,2230.9,6.9,2491.2,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.2,0.0
93,Hospitals,2493.1,0.0,39.2,1.7,8757.8,0.0,2234.6,6.9,2491.4,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.2,0.0
94,Hospitals,2493.1,0.0,39.0,1.6,8807.7,0.0,2238.4,6.9,2491.5,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.2,0.0
95,Hospitals,2493.1,0.0,38.9,1.4,8857.5,0.0,2242.1,6.9,2491.7,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.1,0.0
96,Hospitals,2493.1,0.0,38.7,1.3,8907.4,0.0,2245.9,6.9,2491.8,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.1,0.0
97,Hospitals,2493.1,0.0,38.6,1.1,8957.3,0.0,2249.6,6.9,2492.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.1,0.0
98,Hospitals,2493.1,0.0,38.5,1.0,9007.1,0.0,2253.3,6.9,2492.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.1,0.0
99,Hospitals,2493.1,0.0,38.4,0.9,9057.0,0.0,2257.1,6.9,2492.2,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.1,0.0
100,Hospitals,2493.1,0.0,38.3,0.8,9106.8,0.0,2260.8,6.9,2492.3,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.1,0.0
101,Hospitals,2493.1,0.0,38.2,0.7,9156.7,0.0,2264.6,6.9,2492.3,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.1,0.0
102,Hospitals,2493.1,0.0,38.1,0.7,9206.6,0.0,2268.3,6.9,2492.4,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.1,0.0
103,Hospitals,2493.1,0.0,38.0,0.6,9256.4,0.0,2272.0,6.9,2492.5,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.1,0.0
104,Hospitals,2493.1,0.0,38.0,0.5,9306.3,0.0,2275.8,6.9,2492.5,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.1,0.0
105,Hospitals,2493.1,0.0,37.9,0.5,9356.2,0.0,2279.5,6.9,2492.6,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
106,Hospitals,2493.1,0.0,37.9,0.4,9406.0,0.0,2283.3,6.9,2492.7,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
107,Hospitals,2493.1,0.0,37.8,0.4,9455.9,0.0,2287.0,6.9,2492.7,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
108,Hospitals,2493.1,0.0,37.8,0.4,9505.7,0.0,2290.7,6.9,2492.7,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
109,Hospitals,2493.1,0.0,37.7,0.3,9555.6,0.0,2294.5,6.9,2492.8,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
110,Hospitals,2493.1,0.0,37.7,0.3,9605.5,0.0,2298.2,6.9,2492.8,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
111,Hospitals,2493.1,0.0,37.7,0.3,9655.3,0.0,2302.0,6.9,2492.8,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
112,Hospitals,2493.1,0.0,37.6,0.2,9705.2,0.0,2305.7,6.9,2492.9,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
113,Hospitals,2493.1,0.0,37.6,0.2,9755.0,0.0,2309.4,6.9,2492.9,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
114,Hospitals,2493.1,0.0,37.6,0.2,9804.9,0.0,2313.2,6.9,2492.9,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
115,Hospitals,2493.1,0.0,37.6,0.2,9854.8,0.0,2316.9,6.9,2492.9,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
116,Hospitals,2493.1,0.0,37.6,0.2,9904.6,0.0,2320.7,6.9,2492.9,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
117,Hospitals,2493.1,0.0,37.5,0.1,9954.5,0.0,2324.4,6.9,2493.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
118,Hospitals,2493.1,0.0,37.5,0.1,10004.4,0.0,2328.1,6.9,2493.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
119,Hospitals,2493.1,0.0,37.5,0.1,10054.2,0.0,2331.9,6.9,2493.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
120,Hospitals,2493.1,0.0,37.5,0.1,10104.1,0.0,2335.6,6.9,2493.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
121,Hospitals,2493.1,0.0,37.5,0.1,10153.9,0.0,2339.4,6.9,2493.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
122,Hospitals,2493.1,0.0,37.5,0.1,10203.8,0.0,2343.1,6.9,2493.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
123,Hospitals,2493.1,0.0,37.5,0.1,10253.7,0.0,2346.8,6.9,2493.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
124,Hospitals,2493.1,0.0,37.5,0.1,10303.5,0.0,2350.6,6.9,2493.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
125,Hospitals,2493.1,0.0,37.5,0.1,10353.4,0.0,2354.3,6.9,2493.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
126,Hospitals,2493.1,0.0,37.5,0.1,10403.3,0.0,2358.1,6.9,2493.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
127,Hospitals,2493.1,0.0,37.4,0.0,10453.1,0.0,2361.8,6.9,2493.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
128,Hospitals,2493.1,0.0,37.4,0.0,10503.0,0.0,2365.5,6.9,2493.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
129,Hospitals,2493.1,0.0,37.4,0.0,10552.8,0.0,2369.3,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
130,Hospitals,2493.1,0.0,37.4,0.0,10602.7,0.0,2373.0,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
131,Hospitals,2493.1,0.0,37.4,0.0,10652.6,0.0,2376.8,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
132,Hospitals,2493.1,0.0,37.4,0.0,10702.4,0.0,2380.5,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
133,Hospitals,2493.1,0.0,37.4,0.0,10752.3,0.0,2384.2,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
134,Hospitals,2493.1,0.0,37.4,0.0,10802.1,0.0,2388.0,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
135,Hospitals,2493.1,0.0,37.4,0.0,10852.0,0.0,2391.7,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
136,Hospitals,2493.1,0.0,37.4,0.0,10901.9,0.0,2395.5,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
137,Hospitals,2493.1,0.0,37.4,0.0,10951.7,0.0,2399.2,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
138,Hospitals,2493.1,0.0,37.4,0.0,11001.6,0.0,2402.9,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
139,Hospitals,2493.1,0.0,37.4,0.0,11051.5,0.0,2406.7,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
140,Hospitals,2493.1,0.0,37.4,0.0,11101.3,0.0,2410.4,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
141,Hospitals,2493.1,0.0,37.4,0.0,11151.2,0.0,2414.2,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
142,Hospitals,2493.1,0.0,37.4,0.0,11201.0,0.0,2417.9,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
143,Hospitals,2493.1,0.0,37.4,0.0,11250.9,0.0,2421.6,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
144,Hospitals,2493.1,0.0,37.4,0.0,11300.8,0.0,2425.4,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
145,Hospitals,2493.1,0.0,37.4,0.0,11350.6,0.0,2429.1,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
146,Hospitals,2493.1,0.0,37.4,0.0,11400.5,0.0,2432.8,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
147,Hospitals,2493.1,0.0,37.4,0.0,11450.3,0.0,2436.6,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
